Province/division /district,2020-21,2021-22,2022-23
PUNJAB,"""2,981""","""3,370""","""3,089"""
Bahawalpur Div.,"""3,526""","""3,930""","""3,576"""
Bahawalnagar,"""3,714""","""4,215""","""3,792"""
Bahawalpur,"""3,307""","""3,787""","""3,410"""
Rahim Yar Khan,"""3,491""","""4,013""","""3,661"""
D.G.Khan Division,"""3,127""","""3,596""","""3,278"""
D.G.Khan,"""3,102""","""3,521""","""3,254"""
Layyah,"""2,830""","""3,176""","""2,938"""
Muzaffargarh,"""3,138""","""3,625""","""3,349"""
Rajanpur,"""3,469""","""3,955""","""3,595"""
